2100,2252531,486,32909,3537,81208,151,0,1,2,0,111,73 
2707,9241,1989,49283,160,64455,59,0,0,1,1,28,73 
2588,7183,715,3859,118,14397,0,0,1,0,2,44,74 
2707,9241,1989,49283,160,64455,4,14,0,0,1,17,74 
1827,33087,2821,300,91,4237,0,3,0,0,1,86,74 
738,8281,43,50,127,8496,1,0,0,0,2,42,74 
1151,345898,163,4139,1148,8611,72,355,3,0,1,91,75 
2295,1884668,103479,53,12727,60073,189,0,0,1,0,99,75 
2707,9241,1989,49283,160,64455,118,0,0,1,1,62,75 
738,8281,43,50,127,8496,0,0,0,0,2,51,76 
738,8281,43,50,127,8496,6,1,0,0,2,49,76 
872,355430,245,7988,553,13235,11,73,1,0,0,64,76 
2100,2252531,486,32909,3537,81208,181,0,0,1,2,18,76 
1657,446949,83,262,5671,38378,35,47,0,0,1,19,76 
2295,1884668,103479,53,12727,60073,322,399,0,0,0,40,76 
1970,168446,121,10873,818,30335,3103,0,0,1,0,99,82 
738,8281,43,50,127,8496,2,0,0,0,2,9,82 
2707,9241,1989,49283,160,64455,3406,0,0,1,0,93,82 
2707,9241,1989,49283,160,64455,272,0,0,2,0,32,82 
2982,7020,732,381,294,20254,55,0,0,1,0,114,82 
2588,7183,715,3859,118,14397,0,0,1,1,2,65,83 
2915,2852519,770,13,29450,63139,60,122,0,0,2,33,84 
1657,446949,83,262,5671,38378,28,44,0,0,1,34,85 
2295,1884668,103479,53,12727,60073,267,0,0,1,0,74,85 
738,8281,43,50,127,8496,2,0,0,0,1,33,85 
2894,1572113,873,686,2945,41399,67,226,1,5,2,13,86 
2604,78329,248,41,422,36640,1,3,1,0,1,43,86 
2894,1572113,873,686,2945,41399,100,245,1,2,2,74,87 
2594,63594,19330,3726,601,32135,4,0,0,5,0,111,91 
1970,168446,121,10873,818,30335,3109,0,2,2,1,34,95 
